Mean_rate	Mean_q2.5%	Mean_q97.5%
r_g3_n137	0.022	0.02	0.03
r_g3_n138	0.02	0.02	0.02
r_g3_n139	0.022	0.02	0.03
r_g3_n140	0.019	0.02	0.02
r_g3_n141	0.016	0.01	0.02
r_g3_n142	0.015	0.01	0.02
r_g3_n143	0.015	0.01	0.02
r_g4_n1	0.022	0	0.04
r_g4_n2	0.024	0.02	0.03
r_g4_n3	0.028	0.02	0.04
r_g4_n4	0.039	0.03	0.05
r_g4_n5	0.025	0.02	0.03
r_g4_n6	0.03	0.03	0.03
r_g4_n7	0.044	0.04	0.05
r_g4_n8	0.028	0.03	0.03
r_g4_n9	0.022	0.02	0.02
r_g4_n10	0.044	0.04	0.05
r_g4_n11	0.042	0.04	0.04
r_g4_n12	0.02	0.02	0.02
r_g4_n13	0.036	0.03	0.04
r_g4_n14	0.005	0	0.01
r_g4_n15	0.018	0.01	0.02
r_g4_n16	0.005	0	0.01
r_g4_n17	0.015	0.01	0.02
r_g4_n18	0.019	0.02	0.02
r_g4_n19	0.018	0.02	0.02
r_g4_n20	0.016	0.02	0.02
r_g4_n21	0.022	0.02	0.02
r_g4_n22	0.016	0.02	0.02
r_g4_n23	0.017	0.02	0.02
r_g4_n24	0.018	0.01	0.02
r_g4_n25	0.042	0.03	0.05
r_g4_n26	0.02	0.02	0.03
r_g4_n27	0.026	0.03	0.03
r_g4_n28	0.028	0.03	0.03
r_g4_n29	0.038	0.04	0.04
r_g4_n30	0.017	0.02	0.02
r_g4_n31	0.026	0.02	0.03
r_g4_n32	0.023	0.02	0.03
r_g4_n33	0.007	0.01	0.01
r_g4_n34	0.061	0.05	0.07
r_g4_n35	0.02	0.02	0.02
r_g4_n36	0.032	0.03	0.04
r_g4_n37	0.036	0.04	0.04
r_g4_n38	0.037	0.04	0.04
r_g4_n39	0.029	0.03	0.03
r_g4_n40	0.062	0.05	0.08
r_g4_n41	0.04	0.03	0.05
r_g4_n42	0.044	0.03	0.05
r_g4_n43	0.05	0.04	0.06
r_g4_n44	0.053	0.04	0.07
r_g4_n45	0.051	0.04	0.07
r_g4_n46	0.051	0.04	0.07
r_g4_n47	0.056	0.04	0.07
r_g4_n48	0.069	0.05	0.09
r_g4_n49	0.023	0.02	0.03
r_g4_n50	0.013	0.01	0.02
r_g4_n51	0.016	0.01	0.02
r_g4_n52	0.023	0.02	0.02
r_g4_n53	0.018	0.02	0.02
r_g4_n54	0.017	0.01	0.02
r_g4_n55	0.019	0.02	0.02
r_g4_n56	0.016	0.01	0.02
r_g4_n57	0.009	0.01	0.01
r_g4_n58	0.01	0.01	0.01
r_g4_n59	0.016	0.01	0.02
r_g4_n60	0.012	0.01	0.01
r_g4_n61	0.012	0.01	0.01
r_g4_n62	0.016	0.01	0.02
r_g4_n63	0.006	0	0.01
r_g4_n64	0.012	0.01	0.01
r_g4_n65	0.011	0.01	0.01
r_g4_n66	0.025	0.02	0.03
r_g4_n67	0.013	0.01	0.01
r_g4_n68	0.012	0.01	0.01
r_g4_n69	0.01	0.01	0.01
r_g4_n70	0.011	0.01	0.01
r_g4_n71	0.016	0.01	0.02
r_g4_n72	0.007	0.01	0.01
r_g4_n74	0.064	0.02	0.13
r_g4_n75	0.027	0.02	0.04
r_g4_n76	0.025	0.02	0.03
r_g4_n77	0.051	0.04	0.07
r_g4_n78	0.036	0.03	0.04
r_g4_n79	0.028	0.02	0.04
r_g4_n80	0.029	0.02	0.04
r_g4_n81	0.028	0.02	0.04
r_g4_n82	0.032	0.02	0.04
r_g4_n83	0.032	0.03	0.04
r_g4_n84	0.04	0.03	0.05
r_g4_n85	0.031	0.03	0.04
r_g4_n86	0.03	0.02	0.04
r_g4_n87	0.035	0.03	0.04
r_g4_n88	0.024	0.02	0.03
r_g4_n89	0.013	0.01	0.01
r_g4_n90	0.006	0	0.01
r_g4_n91	0.018	0.01	0.02
r_g4_n92	0.016	0.01	0.02
r_g4_n93	0.033	0.03	0.04
r_g4_n94	0.028	0.02	0.03
r_g4_n95	0.029	0.02	0.03
r_g4_n96	0.028	0.02	0.03
r_g4_n97	0.023	0.02	0.03
r_g4_n98	0.02	0.02	0.02
r_g4_n99	0.031	0.02	0.04
r_g4_n100	0.032	0.03	0.04
r_g4_n101	0.028	0.02	0.03
r_g4_n102	0.039	0.03	0.04
r_g4_n103	0.03	0.02	0.04
r_g4_n104	0.034	0.03	0.04
r_g4_n105	0.041	0.04	0.05
r_g4_n106	0.029	0.02	0.04
r_g4_n107	0.034	0.03	0.04
r_g4_n108	0.037	0.03	0.04
r_g4_n109	0.033	0.03	0.04
r_g4_n110	0.034	0.03	0.04
r_g4_n111	0.029	0.02	0.04
r_g4_n112	0.03	0.02	0.04
r_g4_n113	0.037	0.03	0.04
r_g4_n114	0.045	0.04	0.06
r_g4_n115	0.042	0.03	0.05
r_g4_n116	0.048	0.04	0.06
r_g4_n117	0.043	0.03	0.05
r_g4_n118	0.046	0.03	0.06
r_g4_n119	0.045	0.03	0.06
r_g4_n120	0.048	0.03	0.06
r_g4_n121	0.027	0.02	0.03
r_g4_n122	0.023	0.02	0.03
r_g4_n123	0.017	0.01	0.02
r_g4_n124	0.025	0.02	0.03
r_g4_n125	0.019	0.02	0.02
r_g4_n126	0.014	0.01	0.02
r_g4_n127	0.016	0.01	0.02
r_g4_n128	0.015	0.01	0.02
r_g4_n129	0.013	0.01	0.02
r_g4_n130	0.014	0.01	0.02
r_g4_n131	0.009	0.01	0.01
r_g4_n132	0.011	0.01	0.01
r_g4_n133	0.009	0.01	0.01
r_g4_n134	0.009	0.01	0.01
r_g4_n135	0.009	0.01	0.01
r_g4_n136	0.008	0.01	0.01
r_g4_n137	0.012	0.01	0.01
r_g4_n138	0.011	0.01	0.01
r_g4_n139	0.011	0.01	0.01
r_g4_n140	0.009	0.01	0.01
r_g4_n141	0.008	0.01	0.01
r_g4_n142	0.007	0.01	0.01
r_g4_n143	0.01	0.01	0.01
