Mean_rate	Mean_q2.5%	Mean_q97.5%
r_g4_n81	0.021	0.01	0.03
r_g4_n82	0.021	0.01	0.03
r_g4_n83	0.019	0.01	0.03
r_g4_n84	0.034	0.03	0.05
r_g4_n85	0.019	0.01	0.03
r_g4_n86	0.021	0.02	0.03
r_g4_n87	0.024	0.02	0.04
r_g4_n88	0.015	0.01	0.02
r_g4_n89	0.012	0.01	0.01
r_g4_n90	0.022	0.01	0.03
r_g4_n91	0.021	0.01	0.03
r_g4_n92	0.018	0.01	0.03
r_g4_n93	0.022	0.01	0.03
r_g4_n94	0.029	0.02	0.04
r_g4_n95	0.025	0.02	0.04
r_g4_n96	0.028	0.02	0.04
r_g4_n97	0.021	0.02	0.02
r_g4_n98	0.021	0.02	0.03
r_g4_n99	0.023	0.02	0.03
r_g4_n100	0.024	0.02	0.03
r_g4_n101	0.022	0.02	0.03
r_g4_n102	0.035	0.03	0.04
r_g4_n103	0.024	0.02	0.03
r_g4_n104	0.023	0.02	0.03
r_g4_n105	0.038	0.03	0.05
r_g4_n106	0.022	0.02	0.03
r_g4_n107	0.025	0.02	0.03
r_g4_n108	0.034	0.03	0.04
r_g4_n109	0.024	0.02	0.03
r_g4_n110	0.034	0.03	0.04
r_g4_n111	0.037	0.03	0.05
r_g4_n112	0.038	0.03	0.05
r_g4_n113	0.057	0.05	0.07
r_g4_n114	0.032	0.02	0.04
r_g4_n115	0.026	0.02	0.03
r_g4_n116	0.025	0.02	0.03
r_g4_n117	0.028	0.02	0.03
r_g4_n118	0.039	0.03	0.05
r_g4_n119	0.028	0.02	0.04
r_g4_n120	0.025	0.02	0.03
r_g4_n121	0.014	0.01	0.02
r_g4_n122	0.015	0.01	0.02
r_g4_n123	0.015	0.01	0.02
r_g4_n124	0.019	0.01	0.03
r_g4_n125	0.015	0.01	0.02
r_g4_n126	0.016	0.01	0.02
r_g4_n127	0.024	0.02	0.03
r_g4_n128	0.022	0.01	0.03
r_g4_n129	0.015	0.01	0.02
r_g4_n130	0.011	0.01	0.01
r_g4_n131	0.019	0.01	0.03
r_g4_n132	0.026	0.02	0.04
r_g4_n133	0.024	0.02	0.03
r_g4_n134	0.027	0.02	0.04
r_g4_n135	0.021	0.02	0.03
r_g4_n136	0.027	0.02	0.04
r_g4_n137	0.026	0.02	0.04
r_g4_n138	0.028	0.02	0.04
r_g4_n139	0.008	0.01	0.01
r_g4_n140	0.019	0.01	0.03
r_g4_n141	0.015	0.01	0.02
r_g4_n142	0.021	0.01	0.03
r_g4_n143	0.012	0.01	0.01
