Mean_rate	Mean_q2.5%	Mean_q97.5%
r_g4_n116	0.048	0	0.22
r_g4_n117	0.048	0	0.21
r_g4_n118	0.048	0	0.22
r_g4_n119	0.048	0	0.21
r_g4_n120	0.048	0	0.21
r_g4_n121	0.048	0	0.22
r_g4_n122	0.048	0	0.21
r_g4_n123	0.048	0	0.21
r_g4_n124	0.048	0	0.21
r_g4_n125	0.048	0	0.22
r_g4_n126	0.048	0	0.22
r_g4_n127	0.048	0	0.22
r_g4_n128	0.048	0	0.21
r_g4_n129	0.048	0	0.21
r_g4_n130	0.048	0	0.21
r_g4_n131	0.048	0	0.21
r_g4_n132	0.048	0	0.22
r_g4_n133	0.048	0	0.21
r_g4_n134	0.048	0	0.21
r_g4_n135	0.048	0	0.21
r_g4_n136	0.048	0	0.21
r_g4_n137	0.048	0	0.21
r_g4_n138	0.048	0	0.21
r_g4_n139	0.048	0	0.21
r_g4_n140	0.048	0	0.21
r_g4_n141	0.048	0	0.21
r_g4_n142	0.048	0	0.21
r_g4_n143	0.048	0	0.21
